split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_epochs,param_n_factors,param_lr_all,param_reg_all,param_random_state
0.9925009959421134,0.9884293323893786,0.9878090075148385,0.9895797786154436,0.002081078845169922,14,0.7512903376708882,0.7491692571310962,0.7473833452695672,0.7492809800238506,0.0015969781692452792,20,1519.1020653247833,9.743272671939069,76.81956656773885,1.3301804091528389,"{'n_epochs': 20, 'n_factors': 5, 'lr_all': 0.07, 'reg_all': 0.7, 'random_state': 42}",20,5,0.07,0.7,42
0.9925055021732773,0.9884242131623776,0.9878245789521388,0.9895847647625979,0.002079730842060848,15,0.7512905690063005,0.7491671980575542,0.7473922564347912,0.7492833411662153,0.0015935970094023077,22,1899.0430064201355,8.618273568245405,72.04815610249837,2.420344281570159,"{'n_epochs': 20, 'n_factors': 10, 'lr_all': 0.07, 'reg_all': 0.7, 'random_state': 42}",20,10,0.07,0.7,42
1.0136753034542165,1.008807398181581,1.0094524630818318,1.0106450549058765,0.002158831764314781,16,0.7826485615762362,0.7804665314097172,0.7802200939616679,0.7811117289825406,0.0010913519657545444,25,1542.903956413269,4.157445150261379,75.67258842786153,0.8416357007741131,"{'n_epochs': 20, 'n_factors': 5, 'lr_all': 0.0007, 'reg_all': 0.02, 'random_state': 42}",20,5,0.0007,0.02,42
1.013837121467916,1.0092015204969822,1.0098590721455287,1.0109659047034756,0.0020479270533768574,17,0.7826632772640094,0.7807703783555998,0.7804570116027004,0.7812968890741031,0.0009746152042702218,26,1930.7727513313293,10.312787615534354,73.01029602686565,1.8215986741618533,"{'n_epochs': 20, 'n_factors': 10, 'lr_all': 0.0007, 'reg_all': 0.02, 'random_state': 42}",20,10,0.0007,0.02,42
1.014213026482249,1.0094002620887585,1.0100909180840203,1.011234735551676,0.0021247610181380073,18,0.7830171356452995,0.7808628998585389,0.7806441032416555,0.7815080462484979,0.001070819342231019,27,2288.1682318846383,3.217176312598243,75.52950183550517,1.3045436024491368,"{'n_epochs': 20, 'n_factors': 15, 'lr_all': 0.0007, 'reg_all': 0.02, 'random_state': 42}",20,15,0.0007,0.02,42
1.014273661684117,1.0093900901388317,1.0100903912934114,1.0112513810387866,0.0021561138886323637,19,0.7838517106302646,0.7816615715806415,0.7814374849180484,0.7823169223763182,0.0010891081814729368,28,1542.7094549338024,5.552352796973295,74.60230692227681,0.17983069377320826,"{'n_epochs': 20, 'n_factors': 5, 'lr_all': 0.0007, 'reg_all': 0.05, 'random_state': 42}",20,5,0.0007,0.05,42
1.0143824576835385,1.0097167261656752,1.0104297311704138,1.0115096383398758,0.0020521390905081497,20,0.7838421758988251,0.7819088473744513,0.7816386247956377,0.7824632160229713,0.0009812926219825366,29,1932.3400240739186,10.69419056047383,74.87629580497742,0.9738457036462089,"{'n_epochs': 20, 'n_factors': 10, 'lr_all': 0.0007, 'reg_all': 0.05, 'random_state': 42}",20,10,0.0007,0.05,42
1.0147139497826119,1.0098201274603806,1.0105513992371054,1.0116951588266991,0.002155382986769519,21,0.7846648896467349,0.7824724024532518,0.782260745871593,0.7831326793238599,0.001086876559161884,31,1536.5188190142314,8.99901328589408,74.1082804997762,0.8250240682053083,"{'n_epochs': 20, 'n_factors': 5, 'lr_all': 0.0007, 'reg_all': 0.07, 'random_state': 42}",20,5,0.0007,0.07,42
1.0147342514387012,1.0098950684125183,1.0106215414810895,1.0117502871107698,0.0021307233689705414,22,0.784170204253779,0.7819954340426694,0.7818010128414907,0.782655550379313,0.0010739590837777365,30,2282.458990097046,11.20796031915128,73.37950364748637,0.9975023684302211,"{'n_epochs': 20, 'n_factors': 15, 'lr_all': 0.0007, 'reg_all': 0.05, 'random_state': 42}",20,15,0.0007,0.05,42
1.014805311295051,1.0101182756151683,1.0108643351139153,1.0119293073413782,0.0020563236207811783,23,0.7846494402890635,0.7826947527095558,0.7824503194910172,0.7832648374965454,0.0009841343300477324,32,1938.214612166087,15.453437244562862,71.38521599769592,0.5853829112268712,"{'n_epochs': 20, 'n_factors': 10, 'lr_all': 0.0007, 'reg_all': 0.07, 'random_state': 42}",20,10,0.0007,0.07,42
1.0151355600199456,1.010287450458057,1.0110351788986767,1.0121527297922264,0.0021311548638824024,24,0.7849561238626721,0.7827802064732873,0.7825980458753539,0.7834447920704378,0.0010712573486402477,33,2285.948557535807,8.229119239071466,72.28361209233601,1.2971627073766714,"{'n_epochs': 20, 'n_factors': 15, 'lr_all': 0.0007, 'reg_all': 0.07, 'random_state': 42}",20,15,0.0007,0.07,42
1.0156202414514346,1.0119360786942775,1.0120967137969474,1.0132176779808866,0.0017001341773639515,25,0.7168791746331686,0.7159721381331261,0.7153348701053481,0.7160620609572144,0.0006336580068042621,11,2033.4213432470958,7.302771201882298,55.440869410832725,1.0591103375365991,"{'n_epochs': 20, 'n_factors': 15, 'lr_all': 0.07, 'reg_all': 0.07, 'random_state': 42}",20,15,0.07,0.07,42
1.0226077399799904,1.016579443124438,1.0166125447676537,1.018599909290694,0.0028339964779142404,26,0.7173187975995728,0.7144366968772455,0.7144348363677975,0.7153967769482054,0.0013590740484085433,10,1545.734737555186,6.620850058947781,74.78136857350667,1.1472412204765072,"{'n_epochs': 20, 'n_factors': 5, 'lr_all': 0.07, 'reg_all': 0.07, 'random_state': 42}",20,5,0.07,0.07,42
